maintenance_ticket_id,booking_id,guest_id,room_id,reported_date,reported_time,issue_type,issue_category,priority,status,technician_id,first_response_minutes,resolution_minutes,repeat_issue_flag,guest_impact,room_blocked,notes
MNT-000146,BKG-000155,GST-000155,RM-532,2023-07-14,22:55,thermostat fault,air_conditioning,high,pending_parts,TECH-008,22,,true,moderate,false,Repeat AC failure in same room; parts ordered and portable fan delivered.
MNT-000147,BKG-005328,GST-005328,RM-325,2023-08-03,19:40,slow drain,plumbing,medium,resolved,TECH-001,47,359,false,minor,false,Shower pressure dropped during stay; resolved and room returned to service.
MNT-000148,BKG-000031,GST-000031,RM-424,2023-08-13,06:20,thermostat fault,air_conditioning,high,resolved,TECH-015,10,348,true,moderate,false,Guest reported AC blowing warm air overnight; engineering replaced thermostat sensor.
MNT-000149,BKG-007655,GST-007655,RM-320,2023-08-17,23:15,slow drain,plumbing,high,open,TECH-017,29,,false,significant,false,Drain was slow and required snaking; open follow-up at time of review.
MNT-000150,BKG-000995,GST-000995,RM-432,2023-08-26,15:40,AC not cooling,air_conditioning,medium,resolved,TECH-018,42,275,false,moderate,false,Fan coil produced intermittent cooling; record existed before guest arrival; resolved and room returned to service.
MNT-000151,BKG-004343,GST-004343,RM-438,2023-09-01,16:25,router reset,wifi,medium,resolved,TECH-012,55,73,false,moderate,false,Access point required reset; resolved and room returned to service.
MNT-000152,BKG-008350,GST-008350,RM-133,2023-10-13,17:45,fan coil noise,air_conditioning,low,resolved,TECH-012,135,291,false,minor,false,Guest reported warm air from vents; resolved and room returned to service.
MNT-000153,BKG-001632,GST-001632,RM-225,2023-10-13,18:00,desk chair loose,furniture,low,resolved,TECH-018,95,100,false,none,false,wardrobe hinge; resolved and room returned to service.
MNT-000154,BKG-002452,GST-002452,RM-221,2023-10-24,11:10,hallway noise check,noise,low,resolved,TECH-005,57,268,false,minor,false,Noise complaint investigated during quiet hours; resolved and room returned to service.
MNT-000155,BKG-002452,GST-002452,RM-221,2023-10-24,14:55,bedside lamp fault,lighting,low,resolved,TECH-012,57,117,true,minor,false,bathroom light out; repeat issue in same room cluster; resolved and room returned to service.
MNT-000156,BKG-008596,GST-008596,RM-515,2023-10-27,11:55,water leak,plumbing,medium,resolved,TECH-002,30,259,false,moderate,false,Water leak observed near vanity; resolved and room returned to service.
MNT-000157,BKG-008239,GST-008239,RM-536,2023-10-28,14:55,bathroom light out,lighting,low,pending_parts,TECH-002,61,,false,none,false,dimmer switch issue; parts ordered; temporary workaround noted.
MNT-000158,BKG-003759,GST-003759,RM-422,2023-10-31,18:30,weak Wi-Fi signal,wifi,medium,resolved,TECH-005,74,79,false,minor,false,Login portal failed for guest device; resolved and room returned to service.
MNT-000159,BKG-006777,GST-006777,RM-104,2023-11-02,12:25,thermostat fault,air_conditioning,low,resolved,TECH-002,162,204,false,minor,false,Fan coil produced intermittent cooling; resolved and room returned to service.
MNT-000160,BKG-000266,GST-000266,RM-429,2023-11-06,16:05,no signal,television,low,pending_parts,TECH-009,139,,false,none,false,TV remote was unresponsive; parts ordered; temporary workaround noted.
MNT-000161,BKG-005918,GST-005918,RM-517,2023-11-11,07:35,shower pressure,plumbing,urgent,escalated,TECH-004,5,,false,severe,false,Water leak observed near vanity; escalated to engineering lead.
MNT-000162,BKG-000006,GST-000006,RM-319,2023-11-19,01:10,sink leak,plumbing,high,pending_parts,TECH-005,23,,true,significant,false,Unresolved vanity leak; parts ordered and absorbent mat placed pending repair.
MNT-000163,BKG-005559,GST-005559,RM-204,2023-11-29,09:30,dimmer switch issue,lighting,medium,resolved,TECH-006,20,76,false,moderate,false,bedside lamp fault; resolved and room returned to service.
MNT-000164,BKG-005764,GST-005764,RM-203,2023-12-24,15:05,wardrobe hinge,furniture,high,pending_parts,TECH-017,21,,false,moderate,false,bed frame squeak; parts ordered; temporary workaround noted.
